State/Province,City,Donation Amount
TN,memphis,26.06
WI,cottage grove,50.0
WI,oregon,51.8
DC,washington,50.0
WI,madison,26.06
WI,cross plains,12.67
OH,columbus,25.0
WI,belleville,103.3
WI,madison,25.0
WI,madison,51.8
WI,verona,154.79
WI,fitchburg,50.0
WI,waukesha,51.8
WI,fitchburg,75.0
WI,cottage grove,30.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,verona,25.0
WI,madison,37.92
WI,madison,595.46
WI,madison,151.92
WI,madison,42.3
WI,madison,17.31
WI,madison,24.68
WI,sauk city,25.0
WI,middleton,20.0
WI,verona,26.06
MN,saint paul,26.06
WI,madison,50.0
WI,madison,250.0
WI,verona,100.0
WI,madison,26.06
WI,beaver dam,12.67
WI,cuba city,103.71
WI,madison,50.0
WI,middleton,51.8
WI,madison,300.0
WI,sun prairie,25.0
WI,madison,26.13
WI,waunakee,108.0
WI,madison,100.0
WI,madison,103.3
WI,madison,52.34
WI,verona,1545.11
WI,stoughton,26.06
MN,richfield,25.0
MN,richfield,25.0
MN,richfield,25.0
MN,richfield,25.0
MN,richfield,25.0
MN,richfield,25.0
MN,richfield,25.0
MN,richfield,25.0
MN,richfield,25.0
MN,richfield,25.0
MN,richfield,25.0
WI,fitchburg,75.0
WI,stoughton,100.0
WI,madison,51.8
WI,madison,103.6
WI,sun prairie,25.0
WI,madison,25.0
WI,madison,25.0
WI,verona,26.06
WI,greenfield,26.06
WI,madison,103.3
WI,madison,103.3
WI,madison,100.0
WI,madison,51.8
WI,verona,50.0
WI,madison,50.0
WI,fitchburg,103.6
WI,madison,51.8
WI,cottage grove,52.01
WI,madison,103.3
WI,madison,50.0
WI,verona,200.0
WI,madison,103.3
WI,fitchbur,100.0
WI,madison,26.06
WI,reedsburg,1561.19
OH,cincinnati,250.0
WI,morrisonville,12.67
WI,madison,100.0
WI,madison,309.27
WI,windsor,25.0
WI,deforest,26.13
WI,cambridge,300.0
WI,madison,26.06
WI,sun prairie,51.8
WI,madison,51.8
WI,verona,1000.0
WI,waunakee,156.4
